region,division,classification,position,status,item_status,number
Region IVA - CALABARZON,Division of Laguna,Teaching Personnel,Teacher III,Filled,Regular,3195
Region IVA - CALABARZON,Division of Batangas,Teaching Personnel,Teacher I,Filled,Regular,3168
Region V - Bicol,Division of Masbate,Teaching Personnel,Teacher I,Filled,Regular,3153
National Capital Region (NCR),Division of Quezon City,Teaching Personnel,Teacher II,Filled,Regular,3125
Region XI - Davao,Division of Davao City,Teaching Personnel,Teacher III,Filled,Regular,3057
Region VI - Western Visayas,Division of Antique,Teaching Personnel,Teacher I,Filled,Regular,3038
National Capital Region (NCR),Division of Manila,Teaching Personnel,Teacher III,Filled,Regular,3030
Region XIII - CARAGA,Division of Agusan del Sur,Teaching Personnel,Teacher I,Filled,Regular,2961
Region I - Ilocos,Division of Ilocos Sur,Teaching Personnel,Teacher III,Filled,Regular,2920
Region IX - Zamboanga Peninsula,Division of Zamboanga City,Teaching Personnel,Teacher III,Filled,Regular,2896
Region II - Cagayan Valley,Division of Nueva Vizcaya,Teaching Personnel,Teacher III,Filled,Regular,2856
National Capital Region (NCR),Division of Manila,Teaching Personnel,Teacher II,Filled,Regular,2834
Region XII - SOCCSKSARGEN,Division of South Cotabato,Teaching Personnel,Teacher I,Filled,Regular,2832
National Capital Region (NCR),Division of Caloocan,Teaching Personnel,Teacher III,Filled,Regular,2783
National Capital Region (NCR),Division of Taguig and Pateros,Teaching Personnel,Teacher I,Filled,Regular,2720
Region III - Central Luzon,Division of Nueva Ecija,Teaching Personnel,Teacher I,Filled,Regular,2648
Region V - Bicol,Division of Camarines Norte,Teaching Personnel,Teacher III,Filled,Regular,2648
Region XII - SOCCSKSARGEN,Division of Sarangani,Teaching Personnel,Teacher I,Filled,Regular,2643
Region IVA - CALABARZON,Division of Cavite,Teaching Personnel,Teacher II,Filled,Regular,2623
Region I - Ilocos,Division of La Union,Teaching Personnel,Teacher III,Filled,Regular,2622
Region X - Northern Mindanao,Division of Bukidnon,Teaching Personnel,Teacher III,Filled,Regular,2621
Region IVA - CALABARZON,Division of Batangas,Teaching Personnel,Teacher II,Filled,Regular,2621
Region V - Bicol,Division of Albay,Teaching Personnel,Teacher I,Filled,Regular,2593
Region XIII - CARAGA,Division of Agusan del Sur,Teaching Personnel,Teacher III,Filled,Regular,2583
Region IVA - CALABARZON,Division of Rizal,Teaching Personnel,Teacher II,Filled,Regular,2579
Region IVB - MIMAROPA,Division of Occidental Mindoro,Teaching Personnel,Teacher III,Filled,Regular,2576
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Teaching Personnel,Teacher I,Filled,Regular,2575
Region XII - SOCCSKSARGEN,Division of Sultan Kudarat,Teaching Personnel,Teacher I,Filled,Regular,2560
Region XII - SOCCSKSARGEN,Division of Sultan Kudarat,Teaching Personnel,Teacher III,Filled,Regular,2525
Region XII - SOCCSKSARGEN,Division of South Cotabato,Teaching Personnel,Teacher III,Filled,Regular,2516
Region X - Northern Mindanao,Division of Lanao del Norte,Teaching Personnel,Teacher I,Filled,Regular,2492
Region XII - SOCCSKSARGEN,Division of General Santos City,Teaching Personnel,Teacher I,Filled,Regular,2451
Region X - Northern Mindanao,Division of Cagayan de Oro City,Teaching Personnel,Teacher I,Filled,Regular,2439
Region III - Central Luzon,Division of Pampanga,Teaching Personnel,Teacher II,Filled,Regular,2354
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Teaching Personnel,Teacher I,Filled,Regular,2323
Region XI - Davao,Division of Davao del Norte,Teaching Personnel,Teacher I,Filled,Regular,2264
Region V - Bicol,Division of Sorsogon,Teaching Personnel,Teacher I,Filled,Regular,2261
Region IVA - CALABARZON,Division of Laguna,Teaching Personnel,Teacher I,Filled,Regular,2235
Region I - Ilocos,Division of Ilocos Norte,Teaching Personnel,Teacher III,Filled,Regular,2232
Region V - Bicol,Division of Camarines Sur,Teaching Personnel,Teacher VI,Filled,Regular,2215
Region III - Central Luzon,Division of Bulacan,Teaching Personnel,Teacher II,Filled,Regular,2209
Region VIII - Eastern Visayas,Division of Eastern Samar,Teaching Personnel,Teacher III,Filled,Regular,2195
Region XI - Davao,Division of Davao Occidental,Teaching Personnel,Teacher I,Filled,Regular,2180
Region VI - Western Visayas,Division of Capiz,Teaching Personnel,Teacher III,Filled,Regular,2144
Region IVA - CALABARZON,Division of Antipolo City,Teaching Personnel,Teacher I,Filled,Regular,2127
Region XI - Davao,Division of Davao Oriental,Teaching Personnel,Teacher I,Filled,Regular,2119
Region VII - Central Visayas,Division of Lapu-lapu City,Teaching Personnel,Teacher III,Filled,Regular,2102
Region III - Central Luzon,Division of Tarlac,Teaching Personnel,Teacher I,Filled,Regular,2101
Region V - Bicol,Division of Camarines Sur,Teaching Personnel,Teacher II,Filled,Regular,2067
Region XIII - CARAGA,Division of Surigao del Sur,Teaching Personnel,Teacher III,Filled,Regular,2035
Region VIII - Eastern Visayas,Division of Southern Leyte,Teaching Personnel,Teacher III,Filled,Regular,2016
Negros Island Region (NIR),Division of Negros Occidental,Teaching Personnel,Teacher II,Filled,Regular,1996
Region XIII - CARAGA,Division of Surigao del Sur,Teaching Personnel,Teacher I,Filled,Regular,1985
Region III - Central Luzon,Division of Bataan,Teaching Personnel,Teacher III,Filled,Regular,1982
National Capital Region (NCR),Division of Pasig City,Teaching Personnel,Teacher I,Filled,Regular,1973
Region X - Northern Mindanao,Division of Misamis Oriental,Teaching Personnel,Teacher III,Filled,Regular,1970
Region III - Central Luzon,Division of Nueva Ecija,Teaching Personnel,Teacher II,Filled,Regular,1914
National Capital Region (NCR),Division of Las Piñas,Teaching Personnel,Teacher I,Filled,Regular,1865
Region VIII - Eastern Visayas,Division of Northern Samar,Teaching Personnel,Teacher I,Filled,Regular,1862
Region III - Central Luzon,Division of Zambales,Teaching Personnel,Teacher I,Filled,Regular,1859
Region XI - Davao,Division of Davao de Oro,Teaching Personnel,Teacher III,Filled,Regular,1847
National Capital Region (NCR),Division of Caloocan,Teaching Personnel,Teacher II,Filled,Regular,1843
Region V - Bicol,Division of Camarines Norte,Teaching Personnel,Teacher I,Filled,Regular,1841
Region VIII - Eastern Visayas,Division of Leyte,Teaching Personnel,Teacher II,Filled,Regular,1841
Region V - Bicol,Division of Albay,Teaching Personnel,Teacher II,Filled,Regular,1840
Region VI - Western Visayas,Division of Capiz,Teaching Personnel,Teacher I,Filled,Regular,1829
Region II - Cagayan Valley,Division of Cagayan,Teaching Personnel,Teacher I,Filled,Regular,1812
Region III - Central Luzon,Division of Zambales,Teaching Personnel,Teacher III,Filled,Regular,1804
National Capital Region (NCR),Division of Taguig and Pateros,Teaching Personnel,Teacher III,Filled,Regular,1797
Region XIII - CARAGA,Division of Butuan City,Teaching Personnel,Teacher III,Filled,Regular,1797
Region IVA - CALABARZON,Division of Laguna,Teaching Personnel,Teacher II,Filled,Regular,1788
Region VIII - Eastern Visayas,Division of Samar,Teaching Personnel,Teacher I,Filled,Regular,1783
Region X - Northern Mindanao,Division of Lanao del Norte,Teaching Personnel,Teacher III,Filled,Regular,1731
National Capital Region (NCR),Division of Taguig and Pateros,Teaching Personnel,Teacher II,Filled,Regular,1727
Region XII - SOCCSKSARGEN,Division of Cotabato,Teaching Personnel,Teacher II,Filled,Regular,1722
Negros Island Region (NIR),Division of Negros Oriental,Teaching Personnel,Teacher II,Filled,Regular,1712
Region XII - SOCCSKSARGEN,Division of Sarangani,Teaching Personnel,Teacher III,Filled,Regular,1704
Region IVA - CALABARZON,Division of Dasmariñas City,Teaching Personnel,Teacher I,Filled,Regular,1681
Region II - Cagayan Valley,Division of Isabela,Teaching Personnel,Teacher I,Filled,Regular,1643
Region III - Central Luzon,Division of San Jose del Monte City,Teaching Personnel,Teacher I,Filled,Regular,1615
Region VI - Western Visayas,Division of Aklan,Teaching Personnel,Teacher III,Filled,Regular,1614
Region VII - Central Visayas,Division of Cebu City,Teaching Personnel,Teacher I,Filled,Regular,1586
Region VI - Western Visayas,Division of Antique,Teaching Personnel,Teacher III,Filled,Regular,1565
Region IVA - CALABARZON,Division of Antipolo City,Teaching Personnel,Teacher III,Filled,Regular,1560
Region XI - Davao,Division of Davao del Sur,Teaching Personnel,Teacher I,Filled,Regular,1557
Region V - Bicol,Division of Masbate,Teaching Personnel,Teacher VI,Filled,Regular,1546
