region,sdo,size,authorized_position,total_enrolment,teacher_count,school_count,classroom_count,psds_count,districts_count,legdist_count,locality,locality_classification,fixed_cost,schools_multiplier,teacher_multiplier,classroom_multiplier,enrolment_multiplier,staff_multiplier,total_mooe,district_school_ratio,excess_school,additional_districts_needed,latitude,longitude,match_key
Region VI,Antique,M,84,"135,084",6591,538,6817,10,22,1,Province,,"2,400,000","3,120",1430,143,8,12000,"18,421,000",330,286,19,10.7467606,121.9455235,regionvi_antique
Region VI,Capiz,M,84,"130,474",7033,471,7123,10,18,2,Province,,"2,400,000","3,120",1430,143,8,12000,"18,534,000",270,282,19,11.5851263,122.7707213,regionvi_capiz
Region VI,Guimaras,M,84,"40,763",1795,116,1781,10,8,1,Province,,"2,400,000","3,120",1430,143,8,12000,"8,061,000",120,13,1,10.5976708,122.5882251,regionvi_guimaras
Region VI,Iloilo,VL,196,"417,683",19617,1174,19308,57,52,6,Province,,"2,400,000","3,120",1430,143,8,12000,"47,820,000",780,644,43,10.704,122.568,regionvi_iloilo
Region VI,Iloilo City,M,84,"74,351",2980,65,2649,10,7,1,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"10,103,000",105,-20,-1,10.7007063,122.564349,regionvi_iloilo
Region VI,Passi City,S,61,"20,521",936,46,790,0,2,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"5,645,000",30,29,2,11.1043309,122.6438583,regionvi_passi
Region VI,Roxas City,M,84,"30,629",1277,50,1149,10,3,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"7,026,000",45,36,2,11.5850153,122.771055,regionvi_roxas
Region VII,Bogo City,S,61,"18,792",700,38,768,0,3,2,City,Component City,"2,400,000","3,120",1430,143,8,12000,"5,029,000",45,7,0,11.0453282,123.9799282,regionvii_bogo
Region VII,Bohol,L,142,"267,648",13659,1131,12079,33,52,3,Province,,"2,400,000","3,120",1430,143,8,12000,"35,511,000",780,548,37,9.6588342,123.8579433,regionvii_bohol
Region VII,Carcar City,M,84,"33,994",1149,50,883,10,2,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"6,647,000",30,37,2,10.1061659,123.6437537,regionvii_carcar
Region VII,Cebu,VL,196,"535,034",22557,1143,18372,57,55,6,Province,,"2,400,000","3,120",1430,143,8,12000,"52,468,000",825,647,43,10.3385,123.8996,regionvii_cebu
Region VII,Cebu City,M,84,"173,233",5995,107,4655,10,16,2,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"17,216,000",240,-68,-5,10.3034374,123.9028176,regionvii_cebu
Region VII,"City of Naga, Cebu",S,61,"30,010",2492,55,816,0,3,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"6,279,000",45,16,1,10.2111259,123.7548677,regionvii_nagacebu
Region VII,Danao City,M,84,"34,733",1148,61,1007,10,4,2,City,Component City,"2,400,000","3,120",1430,143,8,12000,"7,219,000",60,20,1,10.5247599,124.0243279,regionvii_danao
Region VII,Lapu-lapu City,M,84,"99,709",1542,70,2321,10,4,2,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"10,780,000",60,35,2,10.3129881,123.9484807,regionvii_lapulapu
Region VII,Mandaue City,M,84,"64,310",3349,48,1449,10,4,2,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"8,955,000",60,23,2,10.3249149,123.9440109,regionvii_mandaue
Region VII,Tagbilaran City,S,61,"18,931",859,26,562,0,1,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"5,305,000",15,17,1,9.6529834,123.8729761,regionvii_tagbilaran
Region VII,Talisay City,M,84,"53,004",1849,44,959,10,3,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"7,690,000",45,11,1,10.2451986,123.8446969,regionvii_talisay
Region VII,Toledo City,M,84,"50,732",1924,67,1038,10,4,2,City,Component City,"2,400,000","3,120",1430,143,8,12000,"7,864,000",60,15,1,10.3793673,123.641127,regionvii_toledo
Region VIII,Baybay City,S,61,"24,945",1226,82,992,0,4,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"6,545,000",60,37,2,10.675352,124.8028479,regionviii_baybay
Region VIII,Biliran,M,84,"46,806",2125,143,2073,10,9,1,Province,,"2,400,000","3,120",1430,143,8,12000,"8,851,000",135,31,2,11.5792946,124.412443,regionviii_biliran
Region VIII,Borongan City,S,61,"17,544",765,58,848,0,3,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"5,594,000",45,21,1,11.6152006,125.4386032,regionviii_borongan
Region VIII,Calbayog City,M,84,"47,138",2290,174,1882,10,10,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"9,158,000",150,67,4,12.0726705,124.5967942,regionviii_calbayog
Region VIII,Catbalogan City,M,84,"26,552",1183,58,913,10,5,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"6,955,000",75,-8,-1,11.7754838,124.8836374,regionviii_catbalogan
Region VIII,Eastern Samar,M,84,"96,984",5225,466,5509,10,27,1,Province,,"2,400,000","3,120",1430,143,8,12000,"15,326,000",405,105,7,11.6027959,125.4373599,regionviii_easternsamar
Region VIII,Leyte,L,142,"337,094",15923,1286,15978,33,60,5,Province,,"2,400,000","3,120",1430,143,8,12000,"41,151,000",900,513,34,11.0741499,124.5938313,regionviii_leyte
Region VIII,Maasin City,S,61,"14,134",866,76,864,0,4,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"6,168,000",60,33,2,10.1321469,124.832997,regionviii_maasin
Region VIII,Northern Samar,M,84,"161,643",8117,610,6405,10,36,2,Province,,"2,400,000","3,120",1430,143,8,12000,"21,303,000",540,138,9,12.5006638,124.6371619,regionviii_northernsamar
Region VIII,Ormoc City,M,84,"53,028",2266,98,1938,10,6,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"8,654,000",90,32,2,11.0090349,124.609394,regionviii_ormoc
Region VIII,Samar (Western Samar),M,84,"128,518",7139,742,5795,10,29,2,Province,,"2,400,000","3,120",1430,143,8,12000,"19,869,000",435,413,28,11.7734858,124.8844186,regionviii_samarwesternsamar
Region VIII,Southern Leyte,M,84,"69,802",3975,343,4236,10,20,1,Province,,"2,400,000","3,120",1430,143,8,12000,"12,538,000",300,95,6,10.1331,124.8507416,regionviii_southernleyte
Region VIII,Tacloban City,M,84,"52,166",2232,60,2169,10,6,1,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"8,552,000",90,-16,-1,11.2470732,124.9971847,regionviii_tacloban
Region X,Bukidnon,L,142,"279,129","10,439",654,7114,33,30,4,Province,,"2,400,000","3,120",1430,143,8,12000,"26,931,000",450,352,23,8.1622954,125.1190254,regionx_bukidnon
Region X,Cagayan de Oro City,M,84,"138,334","4,459",115,3829,10,10,2,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"13,859,000",150,18,1,8.4386755,124.6205649,regionx_cagayandeoro
Region X,Camiguin,S,61,"21,822","1,074",66,840,0,4,1,Province,,"2,400,000","3,120",1430,143,8,12000,"6,386,000",60,27,2,9.2437836,124.725675,regionx_camiguin
Region X,El Salvador,S,61,"12,401",404,24,485,0,2,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"4,658,000",30,4,0,8.55402,124.5222682,regionx_elsalvador
Region X,Gingoog City,M,84,"33,830","1,518",97,758,10,10,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"7,333,000",150,-8,-1,8.7475204,125.0988136,regionx_gingoog
Region X,Iligan City,M,84,"78,956","3,088",113,2127,10,13,1,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"10,286,000",195,-47,-3,8.227522,124.241523,regionx_iligan
Region X,Lanao del Norte,M,84,"138,443","5,281",384,4679,10,25,2,Province,,"2,400,000","3,120",1430,143,8,12000,"15,479,000",375,106,7,8.1422335,124.2006748,regionx_lanaodelnorte
Region X,Malaybalay City,M,84,"51,812","2,056",87,1383,10,10,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"8,134,000",150,-19,-1,8.1310189,125.1267938,regionx_malaybalay
Region X,Misamis Occidental,M,84,"65,464","3,367",338,3585,10,17,2,Province,,"2,400,000","3,120",1430,143,8,12000,"11,819,000",255,153,10,8.4879303,123.801519,regionx_misamisoccidental
Region X,Misamis Oriental,M,84,"184,445","7,470",422,5222,10,23,2,Province,,"2,400,000","3,120",1430,143,8,12000,"20,116,000",345,182,12,8.442,124.624,regionx_misamisoriental
Region X,Oroquieta City,S,61,"15,489",848,51,754,0,6,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"5,642,000",90,-21,-1,8.4876489,123.8017531,regionx_oroquieta
Region X,Ozamis City,M,84,"30,414","1,212",58,1336,10,5,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"7,147,000",75,11,1,8.1585262,123.8396777,regionx_ozamis
Region X,Tangub City,S,61,"17,065",805,65,891,0,4,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"5,514,000",60,26,2,8.0611585,123.7514157,regionx_tangub
Region X,Valencia City,M,84,"49,770","1,916",65,1032,10,7,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"7,699,000",105,14,1,7.9028844,125.0898033,regionx_valencia
Region XI,Davao City,L,142,"364,012","12,466",438,10518,33,20,3,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"30,559,000",300,269,18,7.0724117,125.6090234,regionxi_davao
Region XI,Davao De Oro,M,84,"182,333","7,615",419,6979,10,13,2,Province,,"2,400,000","3,120",1430,143,8,12000,"19,929,000",195,329,22,7.5764082,125.9921048,regionxi_davaodeoro
Region XI,Davao del Norte,M,84,"117,348","4,754",264,4261,10,10,2,Province,,"2,400,000","3,120",1430,143,8,12000,"13,871,000",150,203,14,7.0795555,125.7179711,regionxi_davaodelnorte
Region XI,Davao del Sur,M,84,"104,840","4,180",263,3790,10,14,2,Province,,"2,400,000","3,120",1430,143,8,12000,"13,823,000",210,87,6,6.7489171,125.3636547,regionxi_davaodelsur
Region XI,Davao Occidental,M,84,"71,224","3,432",219,2839,10,13,2,Province,,"2,400,000","3,120",1430,143,8,12000,"11,723,000",195,67,4,6.4560173,125.5793417,regionxi_davaooccidental
Region XI,Davao Oriental,M,84,"107,100","4,761",333,4626,10,16,2,Province,,"2,400,000","3,120",1430,143,8,12000,"14,003,000",240,178,12,6.9436687,126.2597595,regionxi_davaooriental
Region XI,Digos City,M,84,"39,835","1,542",48,728,10,3,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"7,347,000",45,9,1,6.7449171,125.3596547,regionxi_digos
Region XI,Island Garden City of Samal,S,61,"28,316","1,174",75,1150,0,3,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"6,267,000",45,53,4,7.0725767,125.7097183,regionxi_islandgardencitysamal
Region XI,Mati City,M,84,"37,597","1,570",72,1382,10,3,2,City,Component City,"2,400,000","3,120",1430,143,8,12000,"7,350,000",45,56,4,6.9497402,126.2730585,regionxi_mati
Region XI,Panabo City,M,84,"47,098","1,728",62,1177,10,3,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"7,571,000",45,31,2,7.2832992,125.6706482,regionxi_panabo
Region XI,Tagum City,M,84,"60,809","2,158",39,1861,10,3,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"8,601,000",45,10,1,7.4157264,125.8263378,regionxi_tagum
Region XII,General Santos City,M,84,"150,907","5,144",106,3785,10,15,1,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"14,111,000",225,-92,-6,6.1294497,125.1867218,regionxii_generalsantos
Region XII,Kidapawan City,M,84,"40,207","1,617",76,1191,10,5,2,City,Component City,"2,400,000","3,120",1430,143,8,12000,"7,370,000",75,32,2,7.0070098,125.0912555,regionxii_kidapawan
Region XII,Koronadal City,M,84,"41,624","1,625",54,747,10,6,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"7,376,000",90,-28,-2,6.4999273,124.840333,regionxii_koronadal
Region XII,North Cotabato,L,142,"276,595","11,197",784,8930,33,51,3,Province,,"2,400,000","3,120",1430,143,8,12000,"29,525,000",765,136,9,7.01,125.094,regionxii_northcotabato
Region XII,Sarangani,M,84,"141,723","6,224",327,3879,10,22,1,Province,,"2,400,000","3,120",1430,143,8,12000,"16,647,000",330,189,13,6.1027828,125.2920305,regionxii_sarangani
Region XII,South Cotabato,M,84,"188,055","7,208",384,6804,10,18,2,Province,,"2,400,000","3,120",1430,143,8,12000,"19,136,000",270,266,18,6.4961441,124.8394465,regionxii_southcotabato
Region XII,Sultan Kudarat,M,84,"156,362","6,694",408,5481,10,28,2,Province,,"2,400,000","3,120",1430,143,8,12000,"17,811,000",420,101,7,6.6935316,124.6756671,regionxii_sultankudarat
Region XII,Tacurong City,S,61,"22,043",895,31,847,0,5,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"5,608,000",75,-36,-2,6.6677397,124.6896928,regionxii_tacurong
